Topic ,Comment
Service is poor,"Hello friends, I am sharing one of my experience with my bank and that is abc bank. I wish that it will help you in making the right decision while choosing your bank. first of all the availbility of abc bank branch is very easy, you will get branches of abc bank anywhere easily and you will also get ATM machine of abc bank easily. now come to the problems.


The working officials are lazy so that if you want that they will do your work so you have to go to them more than ten times and still there is no guaranty that your work is going to happen. if you lost your ATM card then they will make you realise that you did the biggest mistake. abc bank needs to improve in service part .
"
Need to improve in services,"Hello friends, I am writing review on abc bank and I hope that will be helpful for choosing your bank. abc bank is a great bank in terms of branch and ATM machine availability. You will get the ATM machines very easily everywhere but when it comes to the services so are going to face the problems like improper behavior by the staff.


Opening student account is one of the biggest task do in abc bank branches. One more thing I want to mention is if you lost your ATM then you have to struggle a lot for new ATM card. Internet services are just ok. I suggest that if you are thinking to open a account in abc bank then make sure that you are going to face these type of problems
"
Very bad customer services,"Although it is the biggest bank of abcd and government too. But the services of this bank are worst. I have account in hoshiarpur branch . They have very rush in there and never tried to resolve that. Many of times their fax machines and internet facilities not working. If you want to deposit any cash then you have to wait many of hours. And net banking website is many of time is under maintenance. If you post your query or contact to them they didn't respond on the time. If you want to do anything related to bank then it Gonna take time.


I have frustrated with their customer services.
"
Best Bank In abcd,"abc bank is the best bank in abcd . It is a abcdn government bank . abc bank's branch are spread all over abcd .


It's ATM counters also available at many places all over abcd . I think abc bank's ATM counters are more than all others bank .


I have open a single account few months ago . All transactions are printed on passbook in details . It is a very helpful feature to know a transaction with full details. I am also using their Internet Banking . It is very easy to use& helpful . I can check balance, transfer money to anyone with their internet banking services . They have toll free help line number . When I face any problem, I call them& they help me . They provide all type of Debit Card like Visa, Master, RuPay, Maestro as per customer requirement.


They provide free ATM transaction per month as - 3 transaction from Metropolitan City& 5 transaction from Non-metropolitan city . ATM charges is 112/- per year .Now I can done cash deposit& cash transfer by GCC . I can use my ATM card in GCC . If anyone don't have ATM card, he can request to branch to issue a Green Card . It charged 20/- one time .I can update passbook myself in updater machine . To update passbook ownself user need to request to branch for attaching a barcode in back side of passbook. abc bank's staff also behave friendly . Their all service are very friendly .So, I highly recommend this bank to all .
"
Bank employee are not friendly not willing to help,"I get to know that abc bank is listed in top 100 bank in world. But reality is exactly opposite. abc bank give so many facilities but the main problem is the bank employee they don't know how to talk . Always ready with excuses so that they don't have to work.


My personal experience with abc bank delhi cantt. Branch I try to update my passbook there is machine for updating passbook but its not working as usal . After that I tried for passbook update by waiting in long q when my no. Came machine stop working this happen to me many time bank employee saying machine is not working or server is done is the most common excuse.
"
My Personal Experience With abc bank,"I am using abc bank's service from few months ago . I have two type of experience with abc bank service .


Good Experience-


1) abc bank is best bank in abcd . I also get it is under top 100 in the world .


2) It is under government of abcd . It is fully trusted.


3) Their branches are available all over abcd . They have also many ATM counters at all places .


4) Internet Banking service is very easy to use . I can check all transaction in details .


5) Their all type of are very friendly .


Bad Experience-


1) I have a savings account in my local branch Mahisgote Branch . To open my account I submitted fully fill up account opening from attached with my KYC documents . After that I need wait 1 months to open my account . This is too much time . They loss my time .


2) Maximum time staff are unable to update passbook . They say link not available .


3) Their service manager Monoj Kumar behave roughly . He also provide me many wrong information .


4) This branch's other staffs are too slow . When I go this branch I need to wait too many time to complete my work . Evenly some time I need to wait 2 hours, to know about any enquiry or cash deposit .


5) Mobile SMS facility are active for my account . But, SMS not received for credit transaction . For this issue I went on bank, but they said they are unable to solve this problem .


6) My one relative also open a account in this branch . But, after few days when she check CIF details, it is show her CIF automatically, wrongly transferred in a other branch . As a result she is unable to got any service like ATM card, net banking, Green Card . So, as per branch request she submitted a letter to transfer her CIF in Home Branch . But, more than 1 month gone, till now it is not transferred .


Final Statement- abc bank service is very friendly, but some branches working too much badly . Their staffs are too bad . As per my many bad experience with abc bank, I can not suggest to open account in any branches of abc bank . I can suggest that, if possible before opening any account in abc bank, know about branches activities from old customers . If activities are well, can open account .
"
Join this bank,"abc bank is an abcdn multinational, Public Sector banking and financial services company. It is a government-owned corporation with its headquarters in Mumbai, Maharashtra and also its corporate office in Mumbai, Maharashtra. As of 2014-15, it has assets of INR 20, 48, 080 crores and 16, 333 branches, including 191 foreign offices spread across 36 countries, making it the largest banking and financial services company in abcd by assets.


abc bank is one of the Big Four banks of abcd, along with Bank of Baroda, Punjab National Bank and ICICI Bank.


The bank traces its ancestry to British abcd, through the Imperial Bank of abcd, to the founding, in 1806, of the Bank of Calcutta, making it the oldest commercial bank in the abcdn Subcontinent. Bank of Madras merged into the other two ""presidency banks"" in British abcd, Bank of Calcutta and Bank of Bombay, to form the Imperial Bank of abcd, which in turn became the abc bank. Government of abcd owned the Imperial Bank of abcd in 1955, with Reserve Bank of abcd(abcd's Central Bank) taking a 60% stake, and renamed it the abc bank. In 2008, the government took over the stake held by the Reserve Bank of abcd.


abc bank is a regional banking behemoth and has 20% market share in deposits and loans among abcdn commercial banks.
"
Satisfied Service Provider -abc bank,"As usual as abc bank is an a govt sector bank and my causin is also working in abc bank Chamba as post of clerk there.As I can visited the abc bank branch many time and I have also an account in the abc bank.I am usually satisfied with their service.The pay to their employees be the best and also many facilities amongst loan which can provide by this bank to their employee.


As I can came across to the services it provides all facilities to ots costumers as according to the RBI rules.I can use debit card or internet banking both facilities of abc bank and also be use Money depositing machine or swipe machines for faster and convient transaction.


Once a time I can transfer money through card to card by Atm from abc bank card to SBP account but the money cant be reached and two days will passed so I can visit the branch of abc bank and meet with a lady employee which helps me and give me a costumer care number also and also registered issue at her diary and check my account behaves very honest and politely.I can call costumer care they can be attend my issue soon and resolve it in 3 days .Costumer service is an average quality or as mixed.but some of employees are of bank are not polite in behaviour and running from customer work which should be noticeable in this gov bank .


As chosen as career then the abc bank provides the best facility to its employers not as the private sector bank but in case of salary its be a good choice.I am also efforting to crack abc bank test or IBPS exam to take a seat at better salary.abc bank no doubt in its facility but abc bank should be check employee behaviour time to time to make their bank quality better then other high profiled bank like HDFC ICICI etc. 
"
Use abc bank card,"Dear All I am using the abc bank credit card past 10 year, very usefull to me.


Good service, loan Felicity credit period is high, proper statement emailing, grace period is available, process fee no for all loan like housing loan etc, easy to operate the banking sector, safety to operate the banking with us.any where in banking, we can use the bank operation in mobile also. like cheque book request, dd taken, etc.
"
Treat humans like aliens,"""Tereko kaay ko account kholne ka hai"" this are words from abc bank employee, when I went to open saving acc for first time in abc bank, I was expecting ""AAPKO"".


I have many bank account in icici, yes bank & TJSB but there customer service is great


abc bank is a multinational banking and financial services company based in abcd. It is a government-owned corporation.


I have an savings account in abc bankn never ever seen such rude banks.nowadays all the banks are user friendly and they help a lot to the customers and treat them with proper respect.they treat humans like aliens as we r come from outer space & opening account to get desire benefit .


they dont even tell us what is the procedure to do certain things they scold people rudely in front of others and they ask us why are we coming to their banks without knowledge.


they refuses to help in every situation as there are involved in their internal works as they think they r OBAMA secretary they have lot to do & refuse to help older perople & make them wait forever beocz employee r busy in there own personal problem


I have no complaint about bank operation, Bank is great but just lack in customer service .


becoz of this I rarely visit any any abc bank branch now I prefer online transaction.
"
Best bank for banking,"abc bank is one of the largest bank of abcd it deals with more than 4 crore of people every day and provide hassel free service to each and every person.


This bank is for every abcdns because like private bank which charges big amount for non maintaining minimum balance abc bank does not charge even single rupees for non maintaining minimum balance.It has wide range of service from poor to rich.its mobile banking app is very smooth and provide 24* 7 service .


It is the first bank of abcd which open a branch even in remote area to provide the banking facilities.It provides rupay debit card for saving account holder.It provide CDM and green channel payment option to deposit money without any obstracle and even in holidays.It provides IMPS service to send money any where any time which helps the people for unnecessary rush to abc bank.In sort abc bank makes people lifes easier and happier in the field of banking.
"
A bank Of Everyone,"abc bank is one of the most popular bank in abcd.It offers wide range of services to their customer.It allows customer to open saving account with no minimum balance.It is spread all over the abcd having largest no of banks and atm's.It allows abc bank customer to use their abc bank atm with no restriction within a month.It also gives high intrest rate to their customer for Fixed Depost.Benifits of having abc bank account is its branch is all over the country and you find atm near to you which helps you to made as no of transaction you want in a month.


Advantages are:


1.Zero saving account with no minimum balance.


2.Low transaction charges at any payment portal.


3.Any no of abc bank To abc bank Transaction in a clender month.


4.It also Offers mutual funds for their customer.


5.It also have a 3-in-1 Trading And Demat Account.
"
Staff behaviour is very rude as always ,"I am a user of abc bank for past few years and I trust this bank completely. Services are average and this bank provides many facilities for common people. I am using its services nearly for last 8 years and this bank is increasing and improving its facilities day by day.


I use abc bank Maestro debit card and as all we know bank has lots of brances in nearly all cities of abcd. Also bank has very good ATM machines all time working and very easy to find. Online services are great and very easy to access from mobile or any web browser, I found this very useful even bank provides many kinds of extra discounts or many other offers for online shopping from their debit or credit card. With all these facilities and good services I found many bad points of this bank which completely disapoints me.




private banks provide more offers and disscounts for online shopping from their debit or credit cards.





This bank does not treat customers as private banks do





Staff is no behaving properly with customers





Bank branches doesn't have enough space according to their customers and flooded with heavy rush





you have to wait for a long time in bank for your number





customer sercice centre is pathetic and calling them is equal to banging your head on wall





Interest rates are low





staff doesn't provide enough knowledge and details to customers







Overall I am not satisfied with their behaviour and dealing and private banks are ver polite and handle very decently and banks like axis bank and hdfc banks are providing amazing offers with supper fast services but yes one can call abc bank as common man's bank and good for normal usage but if you want extra offers and services go for private bank and they will definitely please you very well.
"
Behavior of abc bank's Staff is very Bad. ,"If you want to do Job at this Bank then this is good for you, Big Salary, Nice office but this bank is hell for it's Customers. Staff is behaving with Customers like they are Aliens and Staff played with customers.


abc bank(abc bank) is one of the Worst Bank in abcd. abc bank's staff very very Frustrated. They only work for Salary. abc bank is not working well because of its Staff members who have bad attitude.
"
Good bank,"abc bank is one of the good service bank of abcd.i have a savings account in my local abc bank mahisgote branch.their branches are available all over abcd and they have also many abc bank atm counters at all places.


abc bank is the best bank of abcd.i like it.


It is government bank which is too good.


Now abc bank launch abc bank freedom app.i use abc bank freedom app.bill pay, mobile recharge, money transfer and I can check all transaction in details with this app.


When I go my local abc bank branch I need to not wait too many time to complete my work .because I use green channel which through I dont wait too many time in the bank.grenn channel facility is too good.


I am using abc bank service last 1 year.bank staff are too good.good service.they are very friendly.


abc bank service is very good.my experince is too good with abc bank.i can suggest to open account in abc bank.
"
abc bank is the abcd's best bank. ,"abc bank is the largest bank in terms of customer in the world. The main reason behind to choose a employee of this bank is their environment, a good salary and the trust of having a public sector bank. The good thing about this bank is the salary comes on time, all the benefits like Medical facility, PF etc.


Bad aspect is that your promotion is always dependent on experience only no matter how well or how hard you work. I recommend everyone if you want a secure job its good, but if you want to grow your carrier its not a good company to work.
"
Good people to grow,"abc bank is the largest bank with more branches and more staff in abcd.And holding 51% share by govt and 49% by others.


abc bank proposed many schemes for house loans, education loans, business loans etc with good interest rates. Ours was one of the major sector is the banking sector .Job in abc bank is very nice and really have good benefits, I prefer who wants to do job in banking abc bank is the best choice.
"
abc bank employers,"abc bank is the biggest bank in abcd. It has largest network through all over abcd.S.b.i provides very good facilities to it's employers.


It provides better management to its customers also.But there is a large scope for betterment and it depends on top management. All the staff of s.b.i are really so decent.This field is really full of challenges and fun. S.b.i gives honour and respect to its all staffs. It increases encourage and confidence after working.
"
The Brand Itself ,"abc bank. abc bank is the biggest and the most power holding bank in abcd. And ofcourse as the title suggests is has become a brand in itself. I am a regular user and banker at abc bank and the services provided by abc bank are just fabolous.


I must say that in this date our country abcd is one of the fastest growing economy and abc bank has played a majoy role in developement of it.


Most citizens in abcd have their bank accounts in abc bank as it is the most trusted bank in abcd.


abc bank has most number of bank branches and atm and cdm machines all over the country. Almost every place has at least one abc bank atm or branch present.


It provides the best service and your hard earned money is completly safe in abc bank.


One thing I dont like or regret is that the employers at abc bank branchers may it be the cashiers or peons even the manager are not well behaved, they think themself as lords and do not respond to our questions few times.
"
abcd's largest Savings and current account bank,"abc bank or abc bank is a big and largest public sector bank it is applicated by RBI/ Reserve Bank of abcd.


The facility of this Bank is very good compared to other banks like netbanking debit card credit card one of the most important service of abc bank is green channel facility in which we don't have need in a line that we can directly deposit by the help of our debit card swipe debit card and we can easily deposit withdrawal and transfer money out any line I always use green channel of the abc bank.
"
Quite Bad experience,"I want to share my worst experience with abc bank.


I am a customer of abc bank since 2014, and had a very worst experience.when I filled an online application for opening account, the clerk has told me to deposit at least one thousand rupees else my account won't be open. I showed him a Web page of abc bank regarding opening of account then he given my passbook on deposit of Rs.200


And now I received an sms regarding balance deduction of Rs.114 for sms services. I reached out to abc bank branch Malegaon and asked clerk for reason, the clerk is not responding me first, then after waiting sometime he talked with me in Marathi language which I can't understand. and finally ignored me and I feel very bad. These clerks are graduate but instead of talking in hindi or English they are communicating in marathi language which cannot be understood by some peoples. Further they are not talking politely untill you looking so handsome businesses man with lots of money in your pocket.


abc bank should train their staff to give better services.


My problem is not solved due to the Bad personnel of abc bank.
"
Good banking services,I suggest this bank all of u because as if that I had an account in this and this is an great bank which provides a good internet banking and good services can anyone give gaurente of your bank I wil give you and this is none other than abc bank it is statutory coporation it has his own act please if you are deposit your amount in that bank can you gauranteed that you will not loose youe money my friend had an account in abc bank I like the structure that their bank there is lots of counter every counter we can do all deposit crdiedt make dd etc if every bank adopt that kind of structure then every customer satisfied with the bank service iknow that all the branches of abc bank not have that kind of facilities therefore customer are because they take lots of time to fulfilltheir transaction like update their passbook abc bank one of the best bank in abcd where you can rut your money abc bank is largest public sector bank it is applicated by rbi/reseve bank of abcd the facility of this bank is very good comapred to others like net banking debit card one of the most importamt service of abc bank is green channel facility in which we don't have need in a line taht we can directly depost by the help of debit card swipe debit card and we can easily deposit withdrawal and transfer money out any line and I always use green channel of abc bank it is biggest and most powerful bank in abcd and ofcourse as the title suggests is has become a brand in itself.I am a regular user and banker at abc bank the services provided by abc bank are just fabolous .i must say that in this date our country abcd is the fastet growing economy and abc bank has played a mojor role in development of it mos citizens in abcd ahave their bank accounts in abc bank as it is most trusted bank in abcd abc bank has most of bank branches and atm and cash deposit machines all over the country almost every place has at least one abc bank atm or branch present I mostly prefer this because their is no need of going to bank and ti stand in line for long times to stand in queues to deposit money and to print passbook because it provides cdm and e-printer
abc bank is the best bank in public sector banks ,"I am one of the fans of abc bank's Services. I am having my saving account with abc bank from last 5 years & till date I had never faced any issues. Whenever I had any query customer support team has helped me on immediate basis.


Their support team is well qualified & very supportive. I am using Internet banking of abc bank also & never felt insecure. They never deducted any unwanted charges from my account like other banks do.
"
abc bank,Propose this bank all of u in light of the fact that as though that I had a record in this and this is an extraordinary bank which gives a decent web managing an account and great administrations would anyone be able to give gaurente of your bank I wil give you and this is none other than abc bank it is statutory coporation it has his own demonstration please on the off chance that you are store your sum in that bank would you be able to gauranteed that you won't free youe cash my companion had a record in abc bank I like the structure that their bank there is loads of counter every counter we can do all store crdiedt make dd and so forth if each bank receive that sort of structure then every client fulfilled by the bank administration iknow that all the branches of abc bank not have that sort of offices consequently client are on the grounds that they take bunches of time to fulfilltheir exchange like redesign their passbook abc bank one of the best bank in abcd where you can groove your cash abc bank is biggest open part bank it is applicated by rbi/reseve bank of abcd the office of this bank is great comapred to others such as net keeping money charge card a standout amongst the most importamt administration of abc bank is green divert office in which we don't have need in a line taht we can specifically depost by the assistance of plastic swipe check card and we can undoubtedly store withdrawal and exchange cash out any line and I generally utilize green channel of abc bank it is greatest and most capable bank in abcd and ofcourse as the title recommends is has turned into a brand in itself.I am a customary client and broker at abc bank the administrations gave by abc bank are just fabolous .i should say that in this date our nation abcd is the fastet developing economy and abc bank has assumed a mojor part being developed of it mos residents in abcd ahave their financial balances in abc bank as it is most trusted bank in abcd abc bank has the vast majority of bank offices and atm and money store machines everywhere throughout the nation verging on each spot has no less than one abc bank atm or branch present I for the most part incline toward this on the grounds that their is no need of going to bank and ti stand in line for long times to remain in lines to store cash and to print passbook since it gives cdm and e-printer
Best bank ,"abc bank is a best bank of any other bank in abcd . Our money is safely protect in the bank abc bank.


The security of this bank is very high quality. And the insurance policy of this bank is very good and interest of this bank is fine. And the top100 banks of the world , the abc bank of the abcd one of this 100 banks.it is a beautiful .wonderful. abc bank u r the best.
"
Biggest bank ever,"abc bank is a best bank of any other bank in abcd . Our money is safely protect in the bank abc bank. The security of this bank is very high quality.


The insurance policy of this bank is very good and interest of this bank is fine. And the top100 banks of the world , the abc bank of the abcd one of this 100 banks. It is a beautiful wonderful. abc bank u r the best.Fine

"
Go for abc bank,"State is one of the best banks in abcd, it has got a vast network & branch in almost every city all over abcd. The bank provides good insurance policy, less interest on loans, car and house loans are easily available. They have ATM machine in every city, our money is very well protected. The customer service is good the bank people help us in each & every problem or query.


The bank also provides internet banking, there is a off in many shopping sites if you pay by using abc bank credit card. Overall a very good bank I would like to recommend it to everyone to find a job here & get well settled in your career. Thank you
"
abc bank A Good Place for a Stable Career,"abc bank, the Best Bank in abcd .One of the Fortune 500 Companies and is wonderful place to work for.It has best Career Growth Options and the pay slip is rather good when compared to other PSBs .


Also it gives more perks and allowances when compared to their counterparts and is surely a proud moment to be a part of the esteemed organisation.The Organisation is headed by a bold woman Arundhati Bhattacharya which shows us the old saying The Hands that rocks the Cradle rules the World.
"
I am a account holder,"abc bank is the biggest bank in abcd. I am government servant and my salary account is maintaining in this bank. ATM services are the best in abcd as well loan services are very well. Recently I applied for abc bank simply life credit card.


I am a personal loan holader and I would like to say that it is my exproence the loan policy is very easy in this bank. I want home loan in future. I am also abc bank Life policy holder.
"
Good,"Let me share my personal experience about abc bank services. Me and my family are strugle very much to build a own house and finally my family decide to buy a flat for that we want a home loan, then I visited so many banks.my m had a salary account in abc bank.


So I decided to take loan in abc bank and I started the process, the manager and some employes are shown irresponsible behaviour but I dont want to stop the process in the middle.I waited with patience.bank manager told me that they will provide home loan with in three months but I tooks three more months, at finally I got home loan in six months.we buy a flat, now we are happy.
"
abc bank,"State is one of the best banks in abcd, it has got a vast network & branch in allmost every city all over abcd. The bank provides good insurance policy, less interest on loans, car and house loans are easily available. They have ATM machine in every city, our money is very well protected. The customer service is good the bank people help us in each & every problem or query. The bank also provides internet banking, there is a off in many shopping sites if you pay by using abc bank credit card.


Overall a very good bank I would like to recommend it to everyone to find a job here & get well settled in your career. Thank you abc bank is a best bank of any other bank in abcd . Our money is safely protect in the bank abc bank .the security of this bannk is very high quality. And the insurance policy of this bank is very good .and interest of this bank is fine. And the top100 banks of the world, the abc bank of the abcd one of this 100 banks.it is a beautiful .wonderfull. abc bank u r the best.Fine
"
Bank related,"This bank is most use full for me because my salary transfer to my bank account


this bank is most important bank because this bank account is secret


this bank branch is any where


this bank is most use full to medium cast


this bank atm is most important


this bank online payment us in any online payment for shopping, light bill, electricity bill, mobile recharge any online payment is most use full


this bank is most use full in village


most important bank in abcd
"
Good Services by abc bank ,"I am having my salary account with abc bank from last 1 Year & I am satisfied with the services provided by abc bank.


Internet banking service is also so good & secure. Customer support team is also so dedicated as I lost my ATM card some where before a week, I called their customer support & they blocked my ATM immediately. Thanks goes to abc bank Customer care they picks phone in the first time & provided resolution immediately,
"
abc bank,"I am a very old customer of abc bank. Its the best bank among all. Most trustworthy bank in the country. The schemes are awesome and the loans are given at very affordable rates. Its the top psu bank in the country. One of my friend works as a PO in abc bank. He is too having a wonderful job life with a handsome salary package. The employees are very friendly. Recently abc bank has launched buddy app, which is a great master step by abc bank to make the transactions and other money tasks very handy and simply."
Lot of patience required ...!!!,"2 months ago I applied for abc bank card in my home town. Process went on soon on papers and I got account book, then main problem started as I haven't received any Atm. Even I cross checked with my post man who usually deliveres in my area regarding my abc bank card. I went to bank and enquired about My card and shockingly they said it's been dispatched and came back as you are not there. Then again I applied on bank to dispatch , waited for 2 months and still no luck. When ever I visited bank I'll here sone or other issues. Even when I go to deposite also they are asking atm card and it's really getting worst day by day. Last I tried with online banking and this is also same I got user name and password and that should be updated I'm my records it seems. So need to check my luck on coming weekend.


As of now I'm fed up of this abc bank Atm card. Hoppe I'm the whos suffering like this.
"
abc bank FORFEITED MY MOTHER'S MONEY,"My Mother Has A Savings Account At abc bank,REGENT ESTATE BRANCH.Branch Code(4774).She is AN ailing LADY of 73 years,a widow And a senior citizen.She has 71,000/ INR in that account.Suddenly abc bank,REGENT ESTATE closed her A/C without informing Her ON 16.06.2015.Since then My Mother is Visiting The branch with ill health but till now She is Unable to Get back her Money.abc bank,a Nationalized bank is behaving like chit funds.Kindly HELP US.SOS."
abc bank is the best,"Hello friends Today I am sharing my review on abc bank.


I hope that would be useful for everyone.


I am having my joint account with my wife since last 4 years and we are very much satisfied with the services of abc bank.


We are using its internet banking, debit card service and abc bank mobile banking app also.


Their customer support is also very good.


Like other banks it had never deducted any unneccesary charges.


We are very much satisfied with its services and will refer everyone also.
"
Treat from there customer very rudely,"Hello I am shakeel khan I am writing review on abc bank I am shairing my evidence which occur with me.


I go to bank for deposite money I give chalan from their worker and I ask him sir where is drinking water but he reply very rudely I don't no about that.


I have many time occur this kind of evidenve .


I think they dont no our importance and they dont no our velue .


I am not agree with abc bank workers. I will give her negative ratting because they have no customer velue.


thank you.
"
Regarding our national bank abc bank,"His this is Anand. abc bank this bank service is not bad , but lots of advantage and disadvantages too. But 1st we need safety and secure , in that it stands 1st as my opinion. After earning small money we need to be kelp safe and secure. And disadvantages online frauds, but it's is least one.


And we need branches in abcd we have everywhere, we can deposit and we can take money through ATM .  But service it takes very slow but standared, don't compare with private banks, because it's nationalise.so have be patience.
"
abc bank advantage,"abc bank is good bank where u seems that no one can fraud easily because of long process in offline and they take ur signature in front of you


2) about their internet banking which is most secured ssl128 bit encyptid you can 100% safe when you are you are using this service but bevare from pishing and fraud lottery mail which are from hackers and spammers
"
Many Outdated ATMs,"I've used ATMs from several banks across the country. So far, the best connectivity was provided by abc bank atm. With 10, 000 it is the bank with most ATMs.


However, my complain is not with the reach of the ATMs, it is with the machine at few of the older ATMs.


The machine looks very outdated when compared to the ATMs of HDFC and other giants. There have been several occasions when the Rs.100 denominations was not available which caused a lot of inconvenience. I think abc bank needs to upgrade few of their outdated machines now. It will help save time of the ATM user.
"
First class banking co.,"I worked at abc bank full-time(More than 10 years).Best customer service. Good attention to the borrowers as well as depositors also.Making pass book entries takes a long time sometimes in some branches.


Bar code stickers are not available in many branches which causes the customers to go to home branches for pass book entries.great learning experience about financing multiple business, great relationship management experience, job security, good work life balance, good leave policy, low workload.high accountability, slow decision making, bureaucracy, transfers at regular interval, slow promotion and job growth.Low exit opportunities .Monotonous after working for few years.Lowprospect for interdepartmental change.Better appraisal and promotion policy.


Besides bread and butter, abc bank was an identity for me and I feel proud of to be employee of the esteemed institution.Nowadays, I sees downward trend of the institution and am worried about the institution to whom the old employes have given blood. Sorry to point out point out, but I have many reasons and constrained on the issues which I saw in the near past, Recent policies of the bank are cause of this decline. Real banking is in doll drums and cheating with the customers, presently.Range of work helps you to learn different things, well defined processes, one of the best amongst PSUs.THIS bank provide all the best facilty whatever we want. but yaa some atm machine is outdated which are not working properly.
"
Banking tree of abcd with widely branches.,"Hello friends,


I am belongs to a small city Ujjain, mp


And my banking experience with this banking jaint of abcd is very bad many times.


Specially in rural areas. Staff is not helping in nature totally.


Some of months ago I open account on JAN-DHAN YOJNA.


And going to branch but they refuges to open it from bank branch. And giving me address of a local statenory who is opening account on there behalf.


I am going there and open my account and when I am going to bank branch(nanakhedA, Ujjain) for deposited some amount in my account then they again refused to submitted and giving reason that, this account is not belongs to there branch and not accepted. And say that deposit amount from that local shop where you opened account.


It is totally frustrated for me.


Even they will not accepted in amount in cash for jan-dhan accounts.


Overall it is giving only facility not satisfaction to customers.
"
abc bank,"Hi guys, first of all im from a small town in tamilnadu, I just worked in rural project for bank sectors.


I want visit all kind of bank in my district.


In that I know about services of all bank sectors in my district. When we compare with the other bank abc bank service is best for me.there is more facilities for employees.


But working ebility is hard because abc bank has more no of coustomers thats why.we want to work under pressure.


Out of that abc bank is a good place to work
"
Lovely place to work,This is a words of my bro. iam adhu finished ca and now working in abc bank. I have seen more branches there will be a good bong between workers. the higher personalities also have a good link with others. humble place to work. feeling happy to work here. 
abc bank group is so good,"abc bank group is so good and so nice its group giving good service for customer for abc bank abc bank for many branch in available in abcd abc bank of bikaner and jaipur its branch of abc bank my account are in abc bank of bikaner and jaipur it is verry good bank and so lovely for that it safe for


We are money and costy things and many are safe that house documnet and other properties paper and bank are given us all abcd people loans loans mean any time any place more money are requred that just time not many ya some mony but not complted for work just money help take a bank for called loan and abc bank rules of goverment charges apply for all abcd customer and low cost apply for charges for abcd and essy clear for loan pepole thank for abc bank and abc bank groups
"
Good banking,"abc bank is the most famous bank of all other bank.Most of the people have an account in abc bank.Comparing my family I have to say that.Most of the people open the bank account in abc bank that are some reasons.I dicuse bello some benifit of abc bank. abc bank net banking:Net banking is the very good technology now a days.


In net banking any one can transfer money one to another account without payment .You can pay any type of payment like ellectrick bill, shopping money transfer etc. abc bank mobile banking:It is the verry update technology of abc bank.This type of personal banking people can handle any type of banking problem.Any time any where any one can manage money problem. abc bank atm facilities:ATM facility is most avaible of the other bank. All over abcd abc bank atm is many many.Small city, college villege, big city, station, shopping mall are avaible.


abc bank customer:Most of the bankers are abc bank customer.I gess that 70% customer are in abc bank .All brance of abc bank are all time gather people.


abc bank employ: The behafe of abc bank is very sweet.They deals very many number of customer but they do not angry with them.They have no time to rest even tiffin.All time they give hard labour.I respect this type of employ.


abc bank loan: abc bank loan facility is avaible . Various type of loan are in sate bank like student loan, car loan house loan, etc. Shopping facility: Using abc bank app or atm many shoping side very large dissciunt. So I defianatly like this bank and highly recommend of the bank to all.
"
Awesome service ,"I am very happy with abc bank because its service is very well .


Mostly online services, I am using internet banking quick transfer service is very useful not delay it is very fast . But some where abc bank branchs are updating but they are start misuse that services they start lines systems if want to submit a document they not see atleast one time only say take token and wait that very bad more time consuming for us .
"
Bank with no care for customer and worst managemen ,"I have opened an account in abc bank of abcd here in delhi branch, but right from then I am regretting that why I even thought of Opening an bank account in abc bank. Right from beginning they were making the process of opening an account in their bank so tough that its like you are trying to win a court case and that too in high court. Employee of abc bank are so rude to talk that you even thought of that they even attended some school or college.


If they are under pressure or workload is there they start screaming on their client. I also wonder how these banks are working because after initial experience I never thought of visiting that bank again. This kind of experience I had in there. Local bank officials have made their own rules and regulation which they force on customers. I complaint regarding this to higher authorities then they did some work and were cordial but after sometime they are same. Kindly improve services.
"
Best and bigest bank of our country.,"abc bank(abc bank) is biggest bank of abcd.95% city, town and village there is a branch of abc bank.you can easly find abc bank branch or abc bank kiosk anywhere in abcd.i am abc bank costmer from last 8 years.these 8 years with abc bank I can say best service provider bank in all banks.there are many services of abc bank you can use if you are account holder of abc bank.i.e.fund transfer, imps transfer, recharge, bill payment, fd opening, dmat account and many more.abc bank provide you online banking, mobile banking and phone banking for paperless transection.you can easly get abc bank's e-lobby any where in abcd you hvnt go banks branch you can do all your work from your phone or e-lobby.i can say abc bank is best bank of abcd.if you want a easy and hasslefree bank then go for abc bank."
Best and biggest bank of abcd...,"Hi, guys iam from small town of telangana I want to say something about abc bank. It is a biggest bank of abcd and it branches contian in every local area of abcd


We can save our money in form of saving account or current account. We can get credit and debate cards and net banking also available . Atm branches also available through all over abcd. I have an account in abc bank in my town.
"
Live Real of abcd in abc bank..,"With its largest network in abcd abc bank became the number one nationalised bank in abcd. As an Employer its posses the biggest staff of discipline employees in banking sector in abcd. abc bank provides all the facilities, remuneration, allowances as well as pension provision after retirement to their employees which makes it an attraction for the job aspiring candidates. abc bank gives growth, money, stability, as well as recognition to the employee. Hence I will recommend this Bank."
